x,y,elev,LAT,LON,coords.x1,coords.x2
1258.1241,413.7076,7.34,25.8457828047692,-97.4303806493388,-97.4303806493388,25.8457828047692
1263.1241,413.7076,4.86,25.8447267027217,-97.3806241906618,-97.3806241906618,25.8447267027217
1253.1241,418.7076,9.04,25.8918449071858,-97.4790040794972,-97.4790040794972,25.8918449071858
1258.1241,418.7076,7.44,25.8908085206475,-97.4292242035519,-97.4292242035519,25.8908085206475
1263.1241,418.7076,4.48,25.8897518750502,-97.3794453687938,-97.3794453687938,25.8897518750502
1243.1241,423.7076,8.2,25.9388870718405,-97.5774765844127,-97.5774765844127,25.9388870718405
1248.1241,423.7076,10.34,25.9378906934156,-97.5276722861309,-97.5276722861309,25.9378906934156
1253.1241,423.7076,8.98,25.9368740440828,-97.4778689901338,-97.4778689901338,25.9368740440828
1258.1241,423.7076,5.63,25.9358371245482,-97.4280667165774,-97.4280667165774,25.9358371245482
1263.1241,423.7076,1.99,25.9347799355317,-97.3782654856146,-97.3782654856146,25.9347799355317
1268.1241,423.7076,2.79,25.9337024777675,-97.3284653173962,-97.3284653173962,25.9337024777675
1243.1241,428.7076,11.04,25.9839201046725,-97.5763853122554,-97.5763853122554,25.9839201046725
1248.1241,428.7076,9.02,25.9829232142209,-97.5265585934727,-97.5265585934727,25.9829232142209
1253.1241,428.7076,8.64,25.9819060424409,-97.4767328783295,-97.4767328783295,25.9819060424409
1258.1241,428.7076,3.08,25.9808685900387,-97.4269081870087,-97.4269081870087,25.9808685900387
1263.1241,428.7076,2.61,25.9798108577343,-97.3770845396906,-97.3770845396906,25.9798108577343
1268.1241,428.7076,0,25.9787328462622,-97.3272619565532,-97.3272619565532,25.9787328462622
1273.1241,428.7076,6.06,25.9776345563708,-97.2774404577716,-97.2774404577716,25.9776345563708
1278.1241,428.7076,5.3,25.9765159888223,-97.2276200635185,-97.2276200635185,25.9765159888223
1193.1241,433.7076,23.89,26.0378138044399,-98.0738354782254,-98.0738354782254,26.0378138044399
1238.1241,433.7076,13.28,26.0299330821773,-97.6251432008964,-97.6251432008964,26.0299330821773
1243.1241,433.7076,10.18,26.0289559722621,-97.5752930566436,-97.5752930566436,26.0289559722621
1248.1241,433.7076,7.64,26.0279585699082,-97.5254438971747,-97.5254438971747,26.0279585699082
1253.1241,433.7076,5.24,26.0269408758079,-97.4755957427024,-97.4755957427024,26.0269408758079
1258.1241,433.7076,2.84,26.0259028906675,-97.4257486134368,-97.4257486134368,26.0259028906675
1263.1241,433.7076,1.01,26.0248446152073,-97.3759025295856,-97.3759025295856,26.0248446152073
1268.1241,433.7076,3.34,26.0237660501617,-97.3260575113538,-97.3260575113538,26.0237660501617
1273.1241,433.7076,0,26.0226671962794,-97.2762135789439,-97.2762135789439,26.0226671962794
1278.1241,433.7076,0.46,26.0215480543228,-97.2263707525558,-97.2263707525558,26.0215480543228
1178.1241,438.7076,28.27,26.0851197393312,-98.2226132471448,-98.2226132471448,26.0851197393312
1183.1241,438.7076,28.11,26.0843858111782,-98.1727303868041,-98.1727303868041,26.0843858111782
1188.1241,438.7076,26.25,26.083631572962,-98.1228482695275,-98.1228482695275,26.083631572962
1193.1241,438.7076,22.65,26.0828570252059,-98.0729669155804,-98.0729669155804,26.0828570252059
1198.1241,438.7076,23.52,26.0820621684471,-98.0230863452264,-98.0230863452264,26.0820621684471
1203.1241,438.7076,20.45,26.0812470032372,-97.9732065787274,-97.9732065787274,26.0812470032372
1208.1241,438.7076,21.22,26.0804115301415,-97.923327636343,-97.923327636343,26.0804115301415
1213.1241,438.7076,18.35,26.0795557497399,-97.873449538331,-97.873449538331,26.0795557497399
1218.1241,438.7076,18.41,26.0786796626259,-97.8235723049471,-97.8235723049471,26.0786796626259
1223.1241,438.7076,17.54,26.0777832694074,-97.7736959564449,-97.7736959564449,26.0777832694074
1228.1241,438.7076,15.26,26.0768665707062,-97.7238205130757,-97.7238205130757,26.0768665707062
1233.1241,438.7076,13.7,26.0759295671584,-97.6739459950888,-97.6739459950888,26.0759295671584
1238.1241,438.7076,14.49,26.0749722594139,-97.6240724227311,-97.6240724227311,26.0749722594139
1243.1241,438.7076,12.11,26.0739946481369,-97.5741998162473,-97.5741998162473,26.0739946481369
1248.1241,438.7076,8.9,26.0729967340057,-97.5243281958798,-97.5243281958798,26.0729967340057
1253.1241,438.7076,6.49,26.0719785177127,-97.4744575818682,-97.4744575818682,26.0719785177127
1258.1241,438.7076,3.87,26.0709399999641,-97.4245879944502,-97.4245879944502,26.0709399999641
1263.1241,438.7076,3.11,26.0698811814806,-97.3747194538607,-97.3747194538607,26.0698811814806
1268.1241,438.7076,2.6,26.0688020629967,-97.324851980332,-97.324851980332,26.0688020629967
1273.1241,438.7076,0,26.067702645261,-97.274985594094,-97.274985594094,26.067702645261
1278.1241,438.7076,1.38,26.0665829290365,-97.2251203153737,-97.2251203153737,26.0665829290365
1168.1241,443.7076,31.94,26.1315745462268,-98.3216242513372,-98.3216242513372,26.1315745462268
1173.1241,443.7076,31.12,26.1308808842715,-98.2717174673893,-98.2717174673893,26.1308808842715
1178.1241,443.7076,27.36,26.130166900834,-98.2218113869202,-98.2218113869202,26.130166900834
1183.1241,443.7076,26.33,26.1294325964094,-98.1719060302265,-98.1719060302265,26.1294325964094
1188.1241,443.7076,26.75,26.128677971507,-98.1220014176027,-98.1220014176027,26.128677971507
1193.1241,443.7076,24.3,26.1279030266502,-98.0720975693418,-98.0720975693418,26.1279030266502
1198.1241,443.7076,22.62,26.1271077623765,-98.022194505735,-98.022194505735,26.1271077623765
1203.1241,443.7076,21.11,26.1262921792373,-97.9722922470711,-97.9722922470711,26.1262921792373
1208.1241,443.7076,18.8,26.1254562777984,-97.9223908136376,-97.9223908136376,26.1254562777984
1213.1241,443.7076,16.93,26.1246000586395,-97.8724902257193,-97.8724902257193,26.1246000586395
1218.1241,443.7076,15.29,26.1237235223543,-97.8225905035996,-97.8225905035996,26.1237235223543
1223.1241,443.7076,13.27,26.1228266695508,-97.7726916675593,-97.7726916675593,26.1228266695508
1228.1241,443.7076,13.88,26.1219095008511,-97.7227937378771,-97.7227937378771,26.1219095008511
1233.1241,443.7076,13.32,26.1209720168912,-97.6728967348298,-97.6728967348298,26.1209720168912
1238.1241,443.7076,10.27,26.1200142183213,-97.6230006786916,-97.6230006786916,26.1200142183213
1243.1241,443.7076,7.11,26.1190361058057,-97.5731055897345,-97.5731055897345,26.1190361058057
