ID,value,LAT,LON,ELEV,NAME
USC00410012,12.4276935682098,33.8339,-101.8436,1026.6,ABERNATHY                     
USC00410025,14.0753889110491,28.1569,-98.5142,132.6,ACKER RCH                     
USC00410034,15.9193675889328,32.5097,-101.6747,809.2,ACKERLY 4SE                   
USC00410040,13.2483974358974,30.3519,-101.2519,612.6,ACTON RCH                     
USC00410120,22.0048,32.7047,-99.3011,441.4,ALBANY                        
USC00410129,27.0893071686023,32.6444,-97.5617,240.8,ALEDO 4 SE                    
USC00410144,17.9679773003648,27.7283,-98.0678,61.3,ALICE                         
USC00410174,13.7740877408774,30.3764,-103.66,1356.4,ALPINE                        
USC00410190,32.887323943662,31.6094,-95.1342,85.3,ALTO 5 SW                     
USC00410202,28.1024451939292,32.4644,-97.1831,215.2,ALVARADO 4NE                  
USC00410225,14.2596944770858,29.4608,-101.0286,352.7,AMISTAD DAM                   
USC00410235,38.2463824794681,29.7878,-94.6342,7.3,ANAHUAC                       
USC00410246,22.9217221135029,30.7578,-97.8614,326.7,ANDICE 2 SW                   
USC00410248,9.83220675944334,32.3483,-102.5517,972.9,ANDREWS                       
USC00410257,42.0753507014028,29.1572,-95.4592,8.2,ANGLETON 2 W                  
USC00410262,31.55,33.35,-96.5167,207.3,ANNA                          
USC00410268,21.6698002350176,32.7667,-99.89,523.3,ANSON                         
USC00410271,24.4794198353587,33.4414,-98.3689,312.4,ANTELOPE                      
USC00410297,25.3939808481532,31.8411,-97.2114,158.5,AQUILLA 1 SSE                 
USC00410305,28.4249113125739,28.3081,-96.8047,4.6,ARANSAS WR                    
USC00410313,22.1531291611185,33.5989,-98.6544,305.1,ARCHER CITY 2W                
USC00410337,29.9619238476954,32.7572,-97.0736,163.4,ARLINGTON SIX FLAGS           
USC00410394,16.9452401010952,33.1525,-100.2333,509,ASPERMONT                     
USC00410404,28.3900904443571,32.1633,-95.83,136.6,ATHENS                        
USC00410440,25.4376083188908,32.2067,-96.7958,161.5,AVALON                        
USC00410482,11.633020344288,30.8878,-102.3008,776.3,BAKERSFIELD                   
USC00410493,18.7439073112265,31.7414,-99.9764,534.9,BALLINGER 2 NW                
USC00410498,11.6340681362725,30.9844,-103.7403,981.5,BALMORHEA                     
USC00410509,23.4685007974482,30.14,-98.8189,533.4,BANKERSMITH                   
USC00410518,28.3603921568627,32.2631,-96.6369,140.5,BARDWELL DAM                  
USC00410560,15.3461694365626,28.9567,-99.6228,227.1,BATESVILLE                    
USC00410586,38.5928822839265,29.9142,-94.9908,7.9,BAYTOWN                       
USC00410611,41.3648807195933,30.0969,-94.0997,6.1,BEAUMONT CITY                 
USC00410613,40.8732890105593,30.0689,-94.2928,8.2,BEAUMONT RSCH CTR             
USC00410639,22.6995305164319,28.4575,-97.7061,77.7,BEEVILLE 5 NE                 
USC00410691,25.9692432213679,32.6475,-97.4439,240.8,BENBROOK DAM                  
USC00410738,22.3140398904967,30.7625,-98.0214,344.1,BERTRAM 3 ENE                 
USC00410779,13.8644602048857,31.2,-101.4625,833.3,BIG LAKE 2                    
