ID,value,LAT,LON,ELEV,NAME
USC00410040,119.915224913495,30.3519,-101.2519,612.6,ACTON RCH                     
USC00410120,110.478226444972,32.7047,-99.3011,441.4,ALBANY                        
USC00410144,165.026851098454,27.7283,-98.0678,61.3,ALICE                         
USC00410174,81.2643298969072,30.3764,-103.66,1356.4,ALPINE                        
USC00410225,143.002351097179,29.4608,-101.0286,352.7,AMISTAD DAM                   
USC00410235,146.658823529412,29.7878,-94.6342,7.3,ANAHUAC                       
USC00410248,97.3121797398502,32.3483,-102.5517,972.9,ANDREWS                       
USC00410257,154.752403846154,29.1572,-95.4592,8.2,ANGLETON 2 W                  
USC00410268,105.861242138365,32.7667,-99.89,523.3,ANSON                         
USC00410305,174.43996808935,28.3081,-96.8047,4.6,ARANSAS WR                    
USC00410313,102.529307282416,33.5989,-98.6544,305.1,ARCHER CITY 2W                
USC00410337,124.745493107105,32.7572,-97.0736,163.4,ARLINGTON SIX FLAGS           
USC00410394,93.5868465430017,33.1525,-100.2333,509,ASPERMONT                     
USC00410404,119.075883988876,32.1633,-95.83,136.6,ATHENS                        
USC00410482,119.003915426782,30.8878,-102.3008,776.3,BAKERSFIELD                   
USC00410493,110.163576431809,31.7414,-99.9764,534.9,BALLINGER 2 NW                
USC00410498,88.7095125786164,30.9844,-103.7403,981.5,BALMORHEA                     
USC00410518,108.90043120345,32.2631,-96.6369,140.5,BARDWELL DAM                  
USC00410569,161.357002938296,28.9797,-95.975,15.8,BAY CITY WTR WKS              
USC00410586,150.220657276995,29.9142,-94.9908,7.9,BAYTOWN                       
USC00410613,139.760657019945,30.0689,-94.2928,8.2,BEAUMONT RSCH CTR             
USC00410639,149.656213249706,28.4575,-97.7061,77.7,BEEVILLE 5 NE                 
USC00410691,112.734038226922,32.6475,-97.4439,240.8,BENBROOK DAM                  
USC00410779,99.1131776810447,31.2,-101.4625,833.3,BIG LAKE 2                    
USC00410832,114.737583105201,30.095,-98.4142,399.3,BLANCO                        
USC00410902,115.92446183953,29.7986,-98.7353,440.4,BOERNE                        
USC00410923,108.882283926476,33.6403,-96.1661,180.4,BONHAM 3NNE                   
USC00410950,113.626910016978,29.1853,-102.9622,566.3,BOQUILLAS RS                  
USC00410958,69.3406335549472,35.6689,-101.4022,930.6,BORGER                        
USC00410984,111.165931863727,33.5511,-97.8472,329.2,BOWIE                         
USC00411000,56.034869739479,35.5303,-102.2564,972.6,BOYS RCH                      
USC00411007,134.757928542754,29.3167,-100.4144,341.4,BRACKETTVILLE                 
USC00411013,130.811898512686,29.61,-100.4519,536.4,BRACKETTVILLE 22 N            
USC00411017,110.607981220657,31.1444,-99.3492,521.5,BRADY                         
USC00411033,41.9967105263158,35.62,-103.0072,1268,BRAVO                         
USC00411048,147.140557518649,30.1592,-96.3972,95.4,BRENHAM                       
USC00411063,109.866048862679,33.2064,-97.7761,234.4,BRIDGEPORT                    
USC00411128,76.7711267605634,33.1908,-102.2681,1005.8,BROWNFIELD #2                 
USC00411138,107.266719430154,31.7383,-98.9456,424.9,BROWNWOOD 2ENE                
USC00411246,119.052066772655,32.5067,-97.3444,232.3,BURLESON                      
USC00411250,117.508441303494,30.7586,-98.2339,391.7,BURNET                        
USC00411348,140.894407508799,30.8458,-96.97,110.9,CAMERON                       
USC00411412,69.4249699879952,35.9092,-100.3883,701,CANADIAN                      
USC00411416,94.3195503813729,30.1383,-104.6822,876.9,CANDELARIA                    
USC00411429,128.452784503632,29.8608,-98.1958,304.8,CANYON DAM                    
USC00411430,64.6958970233307,34.9806,-101.9264,1094.2,CANYON                        
USC00411500,110.754598825832,32.1614,-94.3397,93,CARTHAGE                      
USC00411524,128.959693671906,29.1333,-103.5144,661.1,CASTOLON                      
USC00411578,113.77903793508,31.8075,-94.1642,99.1,CENTER                        
USC00411596,117.460305044975,31.2581,-95.9744,97.5,CENTERVILLE                   
USC00411651,168.121549237742,27.5892,-97.4547,7.6,CHAPMAN RCH                   
USC00411663,150.819319515057,28.9275,-98.7494,134.4,CHARLOTTE 5 NNW               
USC00411715,104.179896290387,29.2703,-103.3003,1615.4,CHISOS BASIN                  
USC00411720,153.026052104208,28.4675,-98.2525,70.1,CHOKE CANYON DAM              
USC00411772,105.549295774648,33.6164,-95.0717,132.6,CLARKSVILLE 2NE               
USC00411778,57.3104158089749,35.11,-101.3619,1034.8,CLAUDE                        
USC00411800,121.741392801252,32.3139,-97.4061,238.7,CLEBURNE                      
USC00411810,129.302325581395,30.3636,-95.0839,59.7,CLEVELAND                     
USC00411870,123.072407883462,30.5333,-95.15,108.2,COLDSPRING 5 SSW              
USC00411875,113.419088766693,31.8278,-99.4319,523.6,COLEMAN                       
USC00411911,115.942901838092,29.6989,-96.5731,68.6,COLUMBUS                      
USC00411956,135.819512195122,30.3303,-95.4831,74.7,CONROE                        
USC00411974,79.3366653338665,31.5333,-101.2842,755.9,COPE RCH                      
USC00411995,95.8830373545622,34.1122,-99.743,449.6,COPPER BREAKS SP              
USC00412012,61.9133685136324,31.78,-105.47,1365.5,CORNUDAS SVC STN              
USC00412019,123.161652627357,32.1225,-96.4867,136.9,CORSICANA                     
USC00412082,112.830548926014,31.4072,-102.3578,778.5,CRANE                         
USC00412114,127.839053254438,31.3072,-95.4508,105.8,CROCKETT                      
USC00412121,74.7919436840047,33.6517,-101.245,917.4,CROSBYTON                     
USC00412160,163.898318341807,28.6794,-99.8311,176.8,CRYSTAL CITY                  
USC00412173,145.867565424266,29.0892,-97.3433,65.2,CUERO                         
USC00412225,133.577459016393,32.9203,-94.7225,91.4,DAINGERFIELD 9 S              
USC00412235,30.0630536737884,36.0072,-102.6133,1219.2,DALHART 6 SW                  
USC00412266,146.837520259319,29.0567,-96.2319,21.3,DANEVANG 1 W                  
USC00412352,117.038893344026,33.4797,-94.6175,103.9,DEKALB                        
USC00412354,70.9311724689876,31.9147,-105.2097,1130.2,DELL CITY 5SSW                
USC00412394,107.16693163752,33.8167,-96.5667,186.8,DENISON DAM                   
USC00412404,120.851272015656,33.1992,-97.105,192,DENTON 2 SE                   
USC00412408,69.0594566888775,32.9619,-102.8219,1094.2,DENVER CITY                   
USC00412458,149.084848484848,28.6806,-99.1833,167.6,DILLEY                        
USC00412464,45.2014106583072,34.5858,-102.312,1173.5,DIMMITT 2 N                   
USC00412585,128.19984356668,30.2194,-97.9878,330.4,DRIPPING SPRINGS 6 E          
USC00412590,117.896809571286,30.05,-102.1167,667.5,DRYDEN                        
USC00412598,109.242868462758,32.0628,-98.3047,447.4,DUBLIN 2SE                    
USC00412617,57.7252878126241,35.8731,-101.9725,1114,DUMAS                         
USC00412677,126.628861947595,32.8692,-97.4497,231.6,EAGLE MTN LAKE                
USC00412679,150.807829181495,28.7569,-100.4792,247.5,EAGLE PASS 3N                 
USC00412715,100.398222940226,32.3989,-98.8175,438.3,EASTLAND                      
USC00412794,80.5741102854908,31.8347,-105.9608,1597.2,EL PASO 32 ENE                
USC00412820,141.497849041846,30.3642,-97.37,181.1,ELGIN 1 N                     
USC00412902,111.209044030147,32.8711,-95.7797,147.5,EMORY                         
USC00412906,150.318140382862,27.9775,-99.3847,166.1,ENCINAL                       
USC00413005,116.120856063785,31.4625,-98.1619,379.5,EVANT 1SSW                    
USC00413060,166.38120209762,26.5581,-99.1372,97.5,FALCON DAM                    
USC00413063,159.977795400476,27.1353,-98.1203,42.4,FALFURRIAS                    
USC00413133,113.789193614409,32.5339,-96.6608,143.3,FERRIS                        
USC00413183,150.484442693974,29.6339,-97.0644,143.3,FLATONIA 4SE                  
USC00413201,141.140456182473,29.1333,-98.1628,121.9,FLORESVILLE                   
USC00413214,74.2697912564002,33.985,-101.3339,981.5,FLOYDADA                      
USC00413225,62.9902075989033,36.4328,-100.1369,844.3,FOLLETT                       
USC00413262,70.7692307692308,30.5997,-103.8869,1482.5,FT DAVIS                      
USC00413280,104.167256985439,30.9072,-102.9153,926,FT STOCKTON                   
USC00413299,137.997080291971,28.5033,-98.8392,91.4,FOWLERTON                     
USC00413321,131.278060226828,31.0328,-96.4889,142.3,FRANKLIN                      
USC00413329,122.196577795464,30.2392,-98.9089,513.6,FREDERICKSBURG                
USC00413340,169.791600633914,28.9844,-95.3808,2.4,FREEPORT 2 NW                 
USC00413368,49.3779866823345,34.64,-102.7231,1222.2,FRIONA                        
USC00413411,95.6988685813751,32.7744,-101.4539,771.1,GAIL                          
USC00413420,113.138923140156,33.6461,-97.0592,265.2,GAINESVILLE 5 ENE             
USC00413445,86.0397435897436,31.8667,-101.4814,809.2,GARDEN CITY                   
USC00413485,121.899017681729,31.4144,-97.7019,251.8,GATESVILLE                    
USC00413507,126.572339577521,30.6764,-97.7208,266.4,GEORGETOWN LAKE               
USC00413546,106.924823805795,32.7464,-95.0497,118.9,GILMER 4 WNW                  
USC00413591,83.7133359405553,32.2342,-97.7853,199.6,GLEN ROSE 2 W                 
USC00413614,122.672594987874,31.4406,-98.5903,459.3,GOLDTHWAITE 1 WSW             
USC00413618,157.095802919708,28.6617,-97.385,43.3,GOLIAD                        
USC00413622,138.348846304263,29.4744,-97.4481,90.2,GONZALES 2S                   
USC00413668,100.840127897682,33.1203,-98.5669,328.6,GRAHAM                        
USC00413680,85.1168148746969,31.3028,-102.8222,739.1,GRANDFALLS 3SSE               
USC00413686,130.179507866075,30.7189,-97.3211,169.2,GRANGER DAM                   
USC00413691,111.263714733542,32.9506,-97.0553,178.3,GRAPEVINE DAM                 
USC00413734,114.590184563758,33.1678,-96.0983,166.1,GREENVILLE KGVL RADIO         
USC00413778,120.583170254403,31.1964,-95.1461,106.7,GROVETON                      
USC00413787,50.9629176854116,36.2631,-101.405,966.2,GRUVER                        
USC00413828,81.4694835680751,33.6267,-100.3369,536.4,GUTHRIE                       
USC00413873,147.643444227006,29.4706,-96.9397,83.8,HALLETTSVILLE 2 N             
USC00413943,174.388279932546,26.2028,-97.6728,11.6,HARLINGEN                     
USC00413972,54.3345070422535,34.3697,-102.1175,1116.5,HART                          
USC00413992,103.631600831601,33.1644,-99.7389,484.6,HASKELL                       
USC00414058,157.585989932886,27.3194,-98.6775,176.8,HEBBRONVILLE                  
USC00414081,116.910518053375,32.1808,-94.7964,128,HENDERSON                     
