ID,value,LAT,LON,ELEV,NAME
USC00410120,248.660015649452,32.7047,-99.3011,441.4,ALBANY                        
USC00410144,283.187122736419,27.7283,-98.0678,61.3,ALICE                         
USC00410174,245.167338709677,30.3764,-103.66,1356.4,ALPINE                        
USC00410225,266.797651663405,29.4608,-101.0286,352.7,AMISTAD DAM                   
USC00410235,263.31144317735,29.7878,-94.6342,7.3,ANAHUAC                       
USC00410248,250.741973375098,32.3483,-102.5517,972.9,ANDREWS                       
USC00410257,256.933817594835,29.1572,-95.4592,8.2,ANGLETON 2 W                  
USC00410268,260.355618203786,32.7667,-99.89,523.3,ANSON                         
USC00410305,261.259485924113,28.3081,-96.8047,4.6,ARANSAS WR                    
USC00410313,247.584130781499,33.5989,-98.6544,305.1,ARCHER CITY 2W                
USC00410342,291.601677148847,26.9333,-97.8,9.1,ARMSTRONG                     
USC00410394,246.672542107325,33.1525,-100.2333,509,ASPERMONT                     
USC00410482,257.999171499586,30.8878,-102.3008,776.3,BAKERSFIELD                   
USC00410493,256.385367762128,31.7414,-99.9764,534.9,BALLINGER 2 NW                
USC00410518,241.494653465347,32.2631,-96.6369,140.5,BARDWELL DAM                  
USC00410569,261.252742787485,28.9797,-95.975,15.8,BAY CITY WTR WKS              
USC00410639,269.195694716243,28.4575,-97.7061,77.7,BEEVILLE 5 NE                 
USC00410665,249.712210443659,31.1,-97.4833,202.4,BELTON DAM                    
USC00410690,286.993319415449,27.5969,-98.4161,115.8,BENAVIDES 2                   
USC00410691,240.780430528376,32.6475,-97.4439,240.8,BENBROOK DAM                  
USC00410779,248.002415458937,31.2,-101.4625,833.3,BIG LAKE 2                    
USC00410832,255.04223699648,30.095,-98.4142,399.3,BLANCO                        
USC00410902,253.263529411765,29.7986,-98.7353,440.4,BOERNE                        
USC00410923,237.433267326733,33.6403,-96.1661,180.4,BONHAM 3NNE                   
USC00410958,226.843114241002,35.6689,-101.4022,930.6,BORGER                        
USC00410984,248.267528397963,33.5511,-97.8472,329.2,BOWIE                         
USC00411007,274.724278161854,29.3167,-100.4144,341.4,BRACKETTVILLE                 
USC00411017,251.333192567568,31.1444,-99.3492,521.5,BRADY                         
USC00411043,270.439344262295,32.7667,-98.9333,406,BRECKENRIDGE 2 WNW            
USC00411048,264.450136879155,30.1592,-96.3972,95.4,BRENHAM                       
USC00411063,249.58936253422,33.2064,-97.7761,234.4,BRIDGEPORT                    
USC00411128,234.103637074697,33.1908,-102.2681,1005.8,BROWNFIELD #2                 
USC00411138,251.6017282011,31.7383,-98.9456,424.9,BROWNWOOD 2ENE                
