ID,value,LAT,LON,ELEV,NAME
USC00410012,232.19533412416,33.8339,-101.8436,1026.6,ABERNATHY                     
USC00410013,255.99048977651,32.4317,-99.6325,549.2,ABILENE 6ESE                  
USC00410040,261.060489678349,30.3519,-101.2519,612.6,ACTON RCH                     
USC00410120,256.464516129032,32.7047,-99.3011,441.4,ALBANY                        
USC00410174,256.948325358852,30.3764,-103.66,1356.4,ALPINE                        
USC00410176,251.424519670631,30.3703,-103.7808,1500.2,ALPINE 7NW                    
USC00410206,245.076614520658,33.3867,-97.7164,307.8,ALVORD 3 N                    
USC00410225,279.324143363529,29.4608,-101.0286,352.7,AMISTAD DAM                   
USC00410235,253.664294187426,29.7878,-94.6342,7.3,ANAHUAC                       
USC00410250,261.665780141844,32.3122,-102.5606,980.2,ANDREWS 2                     
USC00410257,271.770609318996,29.1572,-95.4592,8.2,ANGLETON 2 W                  
USC00410268,260.686781609195,32.7667,-99.89,523.3,ANSON                         
USC00410337,243.458765701802,32.7572,-97.0736,163.4,ARLINGTON SIX FLAGS           
USC00410345,299.05867768595,26.8339,-97.7078,7.6,ARMSTRONG 4SE                 
USC00410394,257.449566587865,33.1525,-100.2333,509,ASPERMONT                     
USC00410404,250.709306930693,32.1633,-95.83,136.6,ATHENS                        
USC00410408,248.261634728197,33.1244,-94.1661,96,ATLANTA                       
USC00410433,268.383667883212,30.4144,-97.7664,268.2,AUSTIN GREAT HILLS            
USC00410482,273.523270440252,30.8878,-102.3008,776.3,BAKERSFIELD                   
USC00410493,263.864012613323,31.7414,-99.9764,534.9,BALLINGER 2 NW                
USC00410518,255.519950124688,32.2631,-96.6369,140.5,BARDWELL DAM                  
USC00410569,262.864112903226,28.9797,-95.975,15.8,BAY CITY WTR WKS              
USC00410586,257.791536050157,29.9142,-94.9908,7.9,BAYTOWN                       
USC00410611,262.226148409894,30.0969,-94.0997,6.1,BEAUMONT CITY                 
USC00410613,260.346153846154,30.0689,-94.2928,8.2,BEAUMONT RSCH CTR             
USC00410639,280.302334784329,28.4575,-97.7061,77.7,BEEVILLE 5 NE                 
USC00410655,264.68156424581,30.0317,-96.2167,85.3,BELLVILLE 6NNE                
USC00410690,292.782385466035,27.5969,-98.4161,115.8,BENAVIDES 2                   
USC00410764,260.908245243129,29.4372,-103.9583,1261.9,BIG BEND RCH SP               
USC00410779,256.156405163853,31.2,-101.4625,833.3,BIG LAKE 2                    
USC00410832,258.736462093863,30.095,-98.4142,399.3,BLANCO                        
USC00410902,260.576230492197,29.7986,-98.7353,440.4,BOERNE                        
USC00410923,240.321944809461,33.6403,-96.1661,180.4,BONHAM 3NNE                   
USC00410926,239.925774877651,33.8186,-97.7336,298.7,BONITA 7NW                    
USC00410958,235.544303797468,35.6689,-101.4022,930.6,BORGER                        
USC00410984,242.725099601594,33.5511,-97.8472,329.2,BOWIE                         
USC00411000,231.948356807512,35.5303,-102.2564,972.6,BOYS RCH                      
USC00411007,274.484184914842,29.3167,-100.4144,341.4,BRACKETTVILLE                 
USC00411013,269.736752861382,29.61,-100.4519,536.4,BRACKETTVILLE 22 N            
USC00411017,260.99841709537,31.1444,-99.3492,521.5,BRADY                         
USC00411033,219.868044515103,35.62,-103.0072,1268,BRAVO                         
USC00411042,255.760563380282,32.75,-98.9017,356.6,BRECKENRIDGE                  
